# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	14785
#@/user_id	rime_fcitx_xiao_he
a 	啊	c=86 d=3.48375 t=14785
yue bu liao 	约不了	c=1 d=2.58255e-15 t=14785
yue da 	越大	c=1 d=1.09851 t=13861
yue ding 	约定	c=0 d=0.1 t=14405
yue du 	月度	c=0 d=1.41781e-20 t=14785
yue du cheng zhang ping gu sh;fm 	月度成长评估搡	c=1 d=1.42492e-19 t=14785
yue duo 	越多	c=3 d=0.00961023 t=14785
yue gao 	越高	c=1 d=1.55858e-15 t=14785
yue gui 	越贵	c=1 d=1.56639e-15 t=14785
yue hao 	越好	c=3 d=0.00196944 t=14785
yue ka 	月卡	c=1 d=8.44239e-09 t=14785
yue mai yue duo 	越买越多	c=1 d=0.0014018 t=14785
yue shao 	越少	c=2 d=0.00352865 t=14785
yue tan 	约谈	c=1 d=3.91772e-06 t=14785
yue tao 	越掏	c=1 d=0.00186406 t=14785
yue xiao 	越小	c=2 d=1.99005 t=13540
yue zao 	越早	c=2 d=1.24372e-18 t=14785
yun dong shi shang 	运动时尚	c=1 d=0.000365224 t=14785
yun suan fu 	运算符	c=1 d=1 t=13442
yun wei 	运维	c=1 d=3.54852e-18 t=14785
yun xing 	运行	c=10 d=0.0319601 t=14785
yun xing qing kuang 	运行情况	c=1 d=1 t=13089
yun xing shi 	运行时	c=3 d=0.0488013 t=14785
yun xu 	允许	c=1 d=1 t=13566
yun ying 	运营	c=1 d=0.00532682 t=14785
yun ying guan li 	运营管理	c=1 d=0.00557201 t=14785
yun ying shang 	运营商	c=1 d=5.09937e-19 t=14785
za la 	咋啦	c=1 d=1.56506e-05 t=14785
za luan 	杂乱	c=1 d=1 t=14138
zai 	再	c=24 d=0.209831 t=14785
zai 	在	c=44 d=2.00861 t=14785
zai a 	在啊	c=1 d=4.82319e-11 t=14785
zai an 	再按	c=2 d=1.72979 t=10867
zai chi fan 	在吃饭	c=1 d=1 t=12170
zai ci 	再次	c=3 d=0.194952 t=14785
zai die 	再跌	c=1 d=3.21532e-05 t=14785
zai fu xi ji tian 	再复习几天	c=1 d=1 t=14382
zai gai 	再改	c=1 d=1.89287e-07 t=14785
zai gai 	在改	c=2 d=4.88178e-06 t=14785
zai gen ju 	再根据	c=1 d=1 t=11833
zai gong si 	在公司	c=1 d=2.05793e-20 t=14785
zai hou 	在后	c=0 d=4.83403e-09 t=14785
zai hou mian 	在后面	c=1 d=1 t=14553
zai hu 	在乎	c=1 d=0.00360656 t=14785
zai hui 	再回	c=0 d=1.16524e-06 t=14785
zai hui wo 	再回我	c=1 d=1.17108e-05 t=14785
zai jia 	在家	c=3 d=0.114178 t=14785
zai jian 	再建	c=0 d=0.1 t=11066
zai kan kan 	再看看	c=1 d=7.92776e-05 t=14785
zai lai 	再来	c=0 d=0.1 t=10850
zai lai yi bian 	再来一遍	c=1 d=0.1 t=14542
zai lao jia 	在老家	c=1 d=1 t=10629
zai luo xia lai 	再落下来	c=1 d=1 t=9772
zai mai ge 	再买个	c=1 d=1.9623e-19 t=14785
zai ni 	在你	c=1 d=6.19732e-19 t=14785
zai ni men 	在你们	c=1 d=0.0833256 t=14785
zai pin 	再拼	c=0 d=0.1 t=10216
zai qu 	再去	c=1 d=1 t=10616
zai shang mian 	在上面	c=0 d=0.1 t=10858
zai shi shi 	再试试	c=2 d=8.61159e-11 t=14785
zai shi yi xia 	再试一下	c=2 d=3.55529e-11 t=14785
zai shuo ba 	再说吧	c=1 d=1 t=14384
zai xi 	在洗	c=0 d=0.1 t=10611
zai xi le 	在洗了	c=1 d=1 t=10612
zai xian 	在线	c=9 d=0.161813 t=14785
zai xian shi bie 	在线识别	c=1 d=1.45975e-09 t=14785
zai xian wen dang 	在线文档	c=1 d=1 t=11123
zai xian wen zi 	在线文字	c=1 d=1 t=13139
zai xian zuo tu 	在线做图	c=1 d=2.8527e-09 t=14785
zai xiang 	在想	c=0 d=0.1 t=11986
zai yi ge 	在一个	c=0 d=0.1 t=11875
zai zhao 	再找	c=0 d=3.37259e-09 t=14785
zan 	咱	c=2 d=0.00415123 t=14785
zan 	赞	c=1 d=1.07602e-09 t=14785
zan ba 	咱爸	c=2 d=0.00243131 t=14785
zan guo 	咱国	c=0 d=3.3552e-07 t=14785
zan guo jia 	咱国家	c=1 d=3.37202e-06 t=14785
zan lia 	咱俩	c=2 d=5.21766e-12 t=14785
zan ma 	咱妈	c=1 d=7.48563e-05 t=14785
zan ma shuo 	咱妈说	c=1 d=2.17207e-08 t=14785
zan men 	咱们	c=4 d=2.29198e-11 t=14785
zan ting 	暂停	c=11 d=0.00135394 t=14785
zan ya qing ge 	咱亚清哥	c=1 d=5.75852e-08 t=14785
zang 	脏	c=0 d=0.126448 t=14780
zang en de 	脏恩德	c=1 d=1 t=14515
zao 	早	c=4 d=0.0193748 t=14785
zao 	造	c=2 d=2.37048e-07 t=14785
zao 	遭	c=1 d=1 t=11733
zao cheng 	造成	c=1 d=1 t=12889
zao chu 	凿出	c=1 d=1 t=14648
zao dian 	早点	c=1 d=0.00701293 t=14785
zao dian hui lai 	早点回来	c=0 d=0.1 t=14745
zao dian jiao 	早点交	c=1 d=7.16435e-19 t=14785
zao kan le 	早看了	c=1 d=1.79713e-14 t=14785
zao shang 	早上	c=1 d=6.37845e-05 t=14785
ze 	则	c=3 d=1.0876 t=13691
zen 	怎	c=0 d=1.09228e-10 t=14785
zen me 	怎么	c=6 d=0.0465408 t=14785
zen me ban 	怎么办	c=4 d=0.00144473 t=14785
zen me gao 	怎么搞	c=1 d=5.67665e-16 t=14785
zen me gei ni 	怎么给你	c=1 d=3.20037e-09 t=14785
zen me hui 	怎么会	c=1 d=1.09604e-20 t=14785
zen me hui shi 	怎么回事	c=2 d=5.30206e-07 t=14785
zen me li jie 	怎么理解	c=1 d=0.467666 t=14785
zen me shi 	怎么是	c=1 d=1 t=12597
zen me yang 	怎么样	c=5 d=6.67217e-05 t=14785
zen me zuo 	怎么做	c=3 d=0.0342185 t=14785
zen mian e yang 	怎面额杨	c=1 d=1.09775e-09 t=14785
zeng jia 	增加	c=8 d=0.017775 t=14785
zeng liang 	增量	c=4 d=5.46539e-11 t=14785
zeng me 	增么	c=1 d=8.38716e-20 t=14785
zeng qiang 	增强	c=4 d=1.09152 t=10317
zeng shan gai cha 	增删改查	c=1 d=1 t=11168
zeng zhang 	增长	c=2 d=0.00973682 t=14785
zhai nan 	宅男	c=1 d=1.46732e-11 t=14785
zhai zi 	摘自	c=6 d=1.00017 t=14505
zhan 	占	c=2 d=1.956 t=13560
zhan 	栈	c=3 d=2.50669 t=10210
zhan 	站	c=3 d=1.53493e-11 t=14785
zhan kai 	展开	c=0 d=0.1 t=11133
zhan kai hou 	展开后	c=2 d=1.97531 t=11139
zhan shang 	栈上	c=1 d=1 t=10175
zhan shi 	展示	c=3 d=1.26341e-05 t=14785
zhan tie 	粘贴	c=1 d=4.2068e-20 t=14785
zhan yong 	占用	c=9 d=0.0594571 t=14785
zhan yong nei cun 	占用内存	c=1 d=4.32372e-19 t=14785
zhan zai 	站在	c=1 d=1.37877e-14 t=14785
zhang 	张	c=5 d=1.34061e-05 t=14785
zhang 	涨	c=4 d=0.0130523 t=14785
zhang 	长	c=0 d=0.000856561 t=14785
zhang ang 	张昂	c=1 d=0.0884781 t=14785
zhang biao 	张表	c=1 d=6.86098e-10 t=14785
zhang dao 	涨到	c=2 d=3.46799e-05 t=14785
zhang de 	长的	c=1 d=2.99224e-12 t=14785
zhang hao 	帐号	c=9 d=0.0139836 t=14785
zhang hao mi ma 	账号密码	c=2 d=0.000297532 t=14785
zhang le 	涨了	c=1 d=2.10387e-15 t=14785
zhang shuo 	张硕	c=2 d=0.549361 t=14785
zhang wo 	掌握	c=1 d=1 t=11277
zhang ya 	长牙	c=0 d=4.10014e-13 t=14785
zhang zhou 	漳州	c=1 d=1.00655e-18 t=14785
zhao 	找	c=4 d=0.00050548 t=14785
zhao bu dao 	找不到	c=5 d=0.0138501 t=14785
zhao dao 	找到	c=4 d=0.000411788 t=14785
zhao dao le 	找到了	c=2 d=1.85539e-07 t=14785
zhao dao yuan yin le 	找到原因了	c=1 d=5.50607e-10 t=14785
zhao ge 	找个	c=1 d=3.70933e-10 t=14785
zhao gong zuo 	找工作	c=3 d=4.79751e-07 t=14785
zhao hui 	召回	c=1 d=9.64261e-14 t=14785
zhao ji 	着急	c=0 d=1.17695e-06 t=14785
zhao le 	找了	c=0 d=0.1 t=14382
zhao ming 	照明	c=1 d=1 t=14655
zhao ming gong ju 	照明工具	c=1 d=1 t=14623
zhao ni 	找你	c=3 d=0.000228273 t=14785
zhao pin 	招聘	c=4 d=0.000610129 t=14785
zhao shang 	招商	c=1 d=2.06825e-20 t=14785
zhao sheng 	招生	c=0 d=1.74883e-18 t=14785
zhe 	着	c=1 d=2.21098e-11 t=14785
zhe 	者	c=1 d=8.25386e-08 t=14785
zhe 	这	c=9 d=0.10891 t=14785
zhe bian 	这边	c=4 d=0.0136366 t=14785
zhe bian shi 	这便是	c=1 d=1 t=14629
zhe bu 	这不	c=0 d=0.1 t=14289
zhe bu wan zheng 	这不完整	c=1 d=1 t=14290
zhe che 	这车	c=2 d=0.00822972 t=14785
zhe ci 	这次	c=2 d=1.7737e-19 t=14785
zhe die 	折叠	c=2 d=1.97531 t=11141
zhe dou shi 	这都是	c=1 d=2.72764e-11 t=14785
zhe fang mian 	这方面	c=1 d=1 t=12978
zhe fang zi 	这房子	c=1 d=2.15119e-12 t=14785
zhe ge 	这个	c=87 d=1.72614 t=14785
zhe ge di fang 	这个地方	c=1 d=6.61465e-21 t=14785
zhe ge gen 	这个跟	c=1 d=1 t=13575
zhe ge gong neng 	这个功能	c=1 d=0.000235217 t=14785
zhe ge jia 	这个价	c=1 d=1.28534e-12 t=14785
zhe ge ren 	这个人	c=3 d=6.3199e-10 t=14785
zhe ge ruan jian 	这个软件	c=1 d=1.3387e-20 t=14785
zhe ge shi 	这个事	c=1 d=0.00138785 t=14785
zhe ge shi 	这个是	c=1 d=0.203926 t=14785
zhe ge wen ti 	这个问题	c=1 d=9.76971e-21 t=14785
zhe ge xi tong 	这个系统	c=1 d=1.69132e-06 t=14785
zhe ge xiang mu 	这个项目	c=1 d=6.42921e-10 t=14785
zhe ge xu yao 	这个需要	c=1 d=1.00672e-20 t=14785
zhe ge you dian 	这个有点	c=1 d=0.56836 t=14785
zhe ge zhou qi 	这个周期	c=1 d=1 t=13270
zhe hai yong 	这还用	c=1 d=0.00161245 t=14785
zhe jiu shi 	这就是	c=1 d=0.00158844 t=14785
zhe ju hua 	这句话	c=2 d=1 t=13924
zhe li 	这里	c=1 d=9.12037e-06 t=14785
zhe liang ge 	这两个	c=2 d=1.03365e-07 t=14785
zhe liang tian 	这两天	c=3 d=0.0532489 t=14785
zhe me 	这么	c=3 d=0.00154241 t=14785
zhe me duo 	这么多	c=2 d=5.78094e-07 t=14785
zhe me duo wen ti ma 	这么多问题吗	c=1 d=3.7363e-07 t=14785
zhe me hao 	这么好	c=1 d=0.000393669 t=14785
zhe me jia ban 	这么加班	c=1 d=5.33499e-21 t=14785
zhe me kuai 	这么快	c=1 d=6.87757e-09 t=14785
zhe me liang kuai 	这么凉快	c=1 d=6.02973e-20 t=14785
zhe me pei he 	这么配合	c=1 d=0.000391706 t=14785
zhe me she ji 	这么设计	c=1 d=7.47221e-14 t=14785
zhe me shuo 	这么说	c=0 d=1.80178e-16 t=14785
zhe me shuo de hua 	这么说的话	c=1 d=1.81081e-15 t=14785
zhe ren 	这人	c=1 d=0.000106752 t=14785
zhe ruan jian 	这软件	c=1 d=0.00192083 t=14785
zhe san ge 	这三个	c=1 d=5.74365e-07 t=14785
zhe shen qing biao 	这申请表	c=1 d=2.41254e-08 t=14785
zhe shi 	这是	c=3 d=1.45987 t=14785
zhe shi na er 	这是哪儿	c=1 d=1.16663e-19 t=14785
zhe shi shen me 	这是什么	c=0 d=4.63802e-22 t=14785
zhe shi shen me zi ti 	这是什么字体	c=1 d=5.13208e-21 t=14785
zhe shi yin wei 	这是因为	c=0 d=0.1 t=12049
zhe shi yin wei sha 	这是因为啥	c=1 d=1 t=12050
zhe shi zhi qian 	这是之前	c=1 d=0.460704 t=14785
zhe shuang 	这双	c=2 d=2.48093e-05 t=14785
zhe si ge 	这四个	c=1 d=0.0265162 t=14785
zhe tai ming xian 	这太明显	c=1 d=0.00166156 t=14785
zhe tiao 	这条	c=1 d=0.0468877 t=14785
zhe wo ye 	这我也	c=1 d=1 t=14694
zhe wo ye zhi dao 	这我也知道	c=1 d=1 t=14562
zhe xiao jia huo 	这小家伙	c=1 d=0.1 t=10541
zhe xie 	这些	c=2 d=3.82922e-14 t=14785
zhe xie ren 	这些人	c=2 d=0.140115 t=14785
zhe yang 	这样	c=8 d=0.00046672 t=14785
zhe yang a 	这样阿	c=1 d=4.09025e-13 t=14785
zhe yang de 	这样的	c=1 d=0.000126534 t=14785
zhe yang hui 	这样会	c=0 d=0.1 t=13509
zhe yang hui dao zhi 	这样会导致	c=1 d=1 t=13510
zhe yang ke yi 	这样可以	c=1 d=1 t=12925
zhe yang zi 	这样子	c=1 d=0.0149208 t=14785
zhe ye shi 	这也是	c=1 d=1 t=9673
zhe ye shi wo 	这也是我	c=1 d=1 t=9703
zhe yi bu 	这一步	c=1 d=6.47705e-09 t=14785
zhe yi ge 	这一个	c=1 d=2.43845e-16 t=14785
zhe zhang 	这张	c=0 d=2.2064e-17 t=14785
zhe zhang biao 	这张表	c=1 d=2.21746e-16 t=14785
zhe zhong 	这种	c=2 d=0.191092 t=14785
zhe zhou mo 	这周末	c=1 d=1 t=14467
zhei bian 	这边	c=1 d=7.20026e-19 t=14785
zhei ge 	这个	c=1 d=0.00257991 t=14785
zhei wei 	这为	c=1 d=7.03467e-10 t=14785
zhen 	真	c=2 d=1.25275e-05 t=14785
zhen de 	真的	c=3 d=1.60926 t=14785
zhen duo 	真多	c=1 d=1 t=10625
zhen hao 	真好	c=1 d=2.49372e-15 t=14785
zhen hou hui 	真后悔	c=1 d=1 t=11900
zhen qi pa 	真奇葩	c=1 d=0.000125903 t=14785
zhen shi 	真是	c=2 d=3.22583e-14 t=14785
zhen you xiu 	真优秀	c=1 d=1.01125e-14 t=14785
zheng 	挣	c=2 d=0.00182809 t=14785
zheng 	正	c=2 d=0.0261214 t=14785
zheng ce 	政策	c=1 d=9.68929e-12 t=14785
zheng chang 	正常	c=11 d=0.234211 t=14785
zheng chang lai shuo 	正常来说	c=1 d=7.84998e-06 t=14785
zheng chang le 	正常了	c=1 d=1 t=14458
zheng chang qing kuang 	正常情况	c=1 d=4.14924e-05 t=14785
zheng chang qing kuang xia 	正常情况下	c=1 d=1 t=11201
zheng de 	征地	c=1 d=5.35444e-05 t=14785
zheng de 	挣得	c=2 d=0.688423 t=14785
zheng ge 	挣个	c=1 d=3.66169e-05 t=14785
zheng ge 	整个	c=4 d=1.07825e-05 t=14785
zheng ge ban gong shi 	整个办公室	c=1 d=0.000108366 t=14785
zheng ge guo cheng 	整个过程	c=1 d=2.4566e-15 t=14785
zheng hao 	正好	c=1 d=1 t=14422
zheng he 	整合	c=6 d=3.30719e-11 t=14785
zheng he jin lai 	整合进来	c=1 d=1 t=9440
zheng he jin lai le 	整合进来了	c=1 d=1 t=9449
zheng le 	挣了	c=2 d=0.00129138 t=14785
zheng li 	整理	c=11 d=0.000156834 t=14785
zheng ming 	证明	c=3 d=0.00051312 t=14785
zheng qian le 	挣钱了	c=1 d=0.00212284 t=14785
zheng que 	正确	c=8 d=0.547227 t=14785
zheng que de 	正确的	c=1 d=4.24908e-20 t=14785
zheng que xing 	正确性	c=1 d=1 t=14327
zheng shi 	正式	c=13 d=0.115914 t=14785
zheng shi huan jing 	正式环境	c=5 d=0.185634 t=14785
zheng shu 	整数	c=1 d=1 t=13547
zheng ti 	整体	c=1 d=1 t=12958
zheng tiao zheng 	正调整	c=1 d=1.11974e-07 t=14785
zheng xin 	征信	c=3 d=2.43975e-18 t=14785
zheng zai 	正在	c=4 d=9.49146e-06 t=14785
zheng ze 	正则	c=6 d=0.0557787 t=14785
zheng ze biao da shi 	正则表达式	c=1 d=1 t=10250
zheng zhun bei 	正准备	c=0 d=5.89507e-20 t=14785
zhi 	值	c=5 d=8.71905e-06 t=14785
zhi 	只	c=7 d=0.115292 t=14785
zhi 	止	c=1 d=1.37853e-12 t=14785
zhi 	直	c=1 d=1 t=11636
zhi biao 	指标	c=12 d=1.87543 t=14785
zhi bo 	直播	c=1 d=0.124307 t=14785
zhi bu guo 	只不过	c=1 d=8.25807e-14 t=14785
zhi chi 	支持	c=6 d=4.55439e-11 t=14785
zhi ci 	至此	c=2 d=1 t=14533
zhi da 	直达	c=1 d=1 t=12822
zhi dao 	直到	c=11 d=1.01671 t=14785
zhi dao 	知道	c=5 d=0.681074 t=14785
zhi dao ba 	知道吧	c=1 d=0.0526021 t=14785
zhi dao le 	知道了	c=1 d=2.18482e-18 t=14785
zhi dao zhao dao 	直到找到	c=1 d=1 t=10697
zhi dao zhe shi shen me zi ti 	知道这是什么字体	c=1 d=4.73171e-21 t=14785
zhi de mai 	值得买	c=1 d=0.00218749 t=14785
zhi de shi 	指的是	c=4 d=0.960789 t=14785
zhi ding 	制定	c=3 d=7.10295e-06 t=14785
zhi ding 	指定	c=15 d=0.000185247 t=14785
zhi fa 	只发	c=0 d=3.98994e-16 t=14785
zhi fa sheng 	只发生	c=1 d=4.00994e-15 t=14785
zhi hou 	之后	c=6 d=0.260593 t=14785
zhi hu 	知乎	c=2 d=1.64206 t=12126
zhi hu tu pian 	知乎图片	c=1 d=1 t=11248
zhi hui 	只会	c=1 d=1 t=14043
zhi hui 	智慧	c=1 d=1 t=14042
zhi ji 	职级	c=1 d=1 t=11429
zhi jian 	之间	c=3 d=0.00202949 t=14785
zhi jie 	直接	c=25 d=0.290452 t=14785
zhi jie bao cuo 	直接报错	c=1 d=5.47861e-10 t=14785
zhi jie da chu 	直接打出	c=1 d=1 t=10309
zhi jie dao ru 	直接导入	c=1 d=1 t=11710
zhi jie guo qu 	直接过去	c=1 d=8.87524e-09 t=14785
zhi jie jin 	直接进	c=1 d=1.79774e-18 t=14785
zhi jie pei zhi 	直接配置	c=1 d=1 t=14202
zhi jie qu 	直接去	c=1 d=4.88677e-18 t=14785
zhi jie tui chu 	直接推出	c=1 d=1 t=13913
zhi jing 	之境	c=2 d=2.07871 t=12083
zhi liang 	质量	c=1 d=2.24325e-05 t=14785
zhi ling 	指令	c=2 d=1.98511 t=14132
zhi nan 	指南	c=1 d=5.16307e-18 t=14785
zhi neng 	只能	c=5 d=0.000461975 t=14785
zhi neng you 	只能有	c=1 d=1 t=14105
zhi niao ku 	纸尿裤	c=2 d=8.83269e-12 t=14785
zhi pai 	指派	c=1 d=0.000380129 t=14785
zhi qian 	之前	c=25 d=1.342 t=14785
zhi shao 	至少	c=5 d=8.33539e-06 t=14785
zhi shao yao 	至少要	c=1 d=4.76449e-14 t=14785
zhi shi 	只是	c=2 d=3.94688e-05 t=14785
zhi shi 	知识	c=5 d=5.66437e-07 t=14785
zhi shi yong yu 	只适用于	c=1 d=1 t=9504
zhi wei 	至为	c=1 d=1 t=12135
zhi wen jian 	值文件	c=1 d=3.41763e-17 t=14785
zhi xiang 	指向	c=4 d=3.53402 t=10198
zhi xing 	之星	c=0 d=0.1 t=11345
zhi xing 	执行	c=33 d=0.0275395 t=14785
zhi xing 	直行	c=2 d=9.55648e-14 t=14785
zhi xing dao 	执行到	c=1 d=1 t=13968
zhi xing lei xing 	执行类型	c=1 d=1 t=12676
zhi xing li 	职形力	c=9 d=2.22706e-08 t=14785
zhi xing shun xu 	执行顺序	c=1 d=1 t=14130
zhi xu yao 	只需要	c=2 d=0.100565 t=11711
zhi yao 	只要	c=3 d=8.87528e-09 t=14785
zhi yao shi 	只要是	c=2 d=6.9479e-11 t=14785
zhi yao you 	只要有	c=0 d=4.26529e-07 t=14785
zhi yao you xiang fa 	只要有想法	c=1 d=4.28667e-06 t=14785
zhi yi 	之一	c=1 d=1 t=10458
zhi you 	只有	c=13 d=1.40229 t=14785
zhi you shu ru 	只有输入	c=1 d=1 t=14260
zhi you wo 	只有我	c=1 d=8.07915e-21 t=14785
zhi you yi ge 	只有一个	c=1 d=1 t=11642
zhi ze 	职责	c=0 d=0.1 t=11314
zhi zhan 	只占	c=0 d=0.1 t=9686
zhi zhan yong le 	只占用了	c=1 d=1 t=9687
zhi zheng 	执政	c=1 d=1 t=11079
zhi zhi xing yi ci 	只执行一次	c=1 d=3.77642e-15 t=14785
zhi zuo 	制作	c=2 d=1.80654 t=14634
zhong 	中	c=42 d=0.346846 t=14785
zhong 	种	c=2 d=0.516851 t=14785
zhong de 	中的	c=6 d=1.11473 t=14009
zhong duan 	中断	c=1 d=4.38981e-21 t=14785
zhong duan 	终端	c=1 d=1 t=10283
zhong duo 	众多	c=1 d=1 t=9825
zhong guo 	中国	c=4 d=0.346456 t=14785
zhong jian 	中间	c=3 d=1.41686 t=13772
zhong kong 	中控	c=1 d=3.14619e-14 t=14785
zhong shu 	中暑	c=1 d=9.14709e-11 t=14785
zhong wen 	中文	c=23 d=0.511709 t=14785
zhong wen fu hao 	中文符号	c=1 d=0.000939653 t=14785
zhong wen lu jing 	中文路径	c=1 d=1.27341e-20 t=14785
zhong wu 	中午	c=2 d=1.37669e-08 t=14785
zhong xin 	中心	c=7 d=1.54871 t=14785
zhong xin yan se 	中心颜色	c=1 d=1 t=10786
zhong xue 	中学	c=2 d=1.95872e-12 t=14785
zhong yao 	重要	c=3 d=4.33118e-05 t=14785
zhong zhi 	终止	c=4 d=7.20445e-07 t=14785
zhou 	绉	c=1 d=1 t=12041
zhou liu 	周六	c=1 d=0.682748 t=14472
zhou liu lai 	周六来	c=1 d=1 t=14473
zhou mo 	周末	c=1 d=2.99846e-07 t=14785
zhou mo qu 	周末去	c=1 d=0.0218712 t=14785
zhou mo qu ma 	周末去吗	c=1 d=1 t=14482
zhou nian 	周年	c=1 d=7.03587e-12 t=14785
zhou qi 	周期	c=12 d=3.07297 t=14785
zhou qi ming cheng 	周期名称	c=1 d=1 t=14736
zhou ri 	周日	c=3 d=1.99005 t=14477
zhu 	主	c=0 d=0.1 t=14113
zhu 	住	c=4 d=5.3174e-07 t=14785
zhu dong 	主动	c=1 d=1.30228e-19 t=14785
zhu guan 	主管	c=2 d=0.564494 t=14785
zhu guan gei wo da dian hua 	主管给我打电话	c=1 d=1 t=10613
zhu jian 	主键	c=8 d=3.77332e-05 t=14785
zhu jie 	注解	c=3 d=0.0125881 t=14785
zhu nei cun 	主内存	c=1 d=1 t=14114
zhu shi 	注释	c=5 d=0.0335389 t=14785
zhu shi diao 	注释掉	c=3 d=2.90305 t=14459
zhu shou 	助手	c=1 d=1 t=13629
zhu ti 	主题	c=5 d=5.41025e-09 t=14785
zhu yao 	主要	c=3 d=1.23626e-05 t=14785
zhu yao gai bian 	主要改变	c=1 d=1 t=12983
zhu yao gong neng 	主要功能	c=0 d=0.1 t=11349
zhu yao gong neng wei 	主要功能为	c=1 d=1 t=11350
zhu yao liu cheng 	主要流程	c=1 d=1 t=11299
zhu yao shi 	主要是	c=1 d=4.34024e-05 t=14785
zhu yao shi mei qian 	主要是没钱	c=1 d=2.00958e-05 t=14785
zhu yao you 	主要有	c=1 d=1 t=12753
zhu yi 	注意	c=10 d=0.0411914 t=14785
zhu yi xiu xi 	注意休息	c=1 d=0.119433 t=14785
zhu yi yan se 	注意颜色	c=1 d=1 t=10913
zhua bao 	抓包	c=1 d=2.81654e-06 t=14785
zhua dao 	抓到	c=1 d=2.85911e-06 t=14785
zhuan 	转	c=26 d=0.0144153 t=14785
zhuan bu liao 	转不了	c=1 d=3.63588e-10 t=14785
zhuan cheng 	转成	c=3 d=3.62785e-10 t=14785
zhuan dao 	转到	c=2 d=1 t=14758
zhuan dong 	转动	c=3 d=2.25196 t=10784
zhuan dong ding ceng 	转动顶层	c=1 d=1 t=10785
zhuan fa 	转发	c=3 d=1.03691e-07 t=14785
zhuan gei 	转给	c=2 d=1.16825e-06 t=14785
zhuan gei ni 	转给你	c=1 d=1.1126e-20 t=14785
zhuan hua 	转化	c=1 d=0.0980199 t=14785
zhuan huan 	转换	c=5 d=3.56374e-08 t=14785
zhuan huan gong ju 	转换工具	c=2 d=1.03271 t=10348
zhuan huan tu 	转换图	c=1 d=1 t=13906
zhuan huan wei 	转换为	c=1 d=1 t=13424
zhuan hui qu 	转回去	c=1 d=1 t=10682
zhuan ma 	转码	c=2 d=1.035 t=13864
zhuan ma gong ju 	转码工具	c=1 d=1 t=13180
zhuan men 	专门	c=1 d=3.67492e-18 t=14785
zhuan ni gei 	转你给	c=1 d=0.00138093 t=14785
zhuan wei 	转为	c=2 d=0.00101793 t=14785
zhuan wen zi 	转文字	c=2 d=4.51734e-17 t=14785
zhuan xiang deng 	转向灯	c=5 d=2.21657e-13 t=14785
zhuan xiao xie 	转小写	c=1 d=7.64029e-11 t=14785
zhuan ye 	专业	c=1 d=4.0618e-14 t=14785
zhuang le 	装了	c=1 d=1.50032e-08 t=14785
zhuang t 	装他	c=1 d=1 t=11452
zhuang tai 	状态	c=9 d=0.874344 t=14785
zhuang tai zhi 	状态值	c=0 d=1.03221e-21 t=14785
zhuang xiu 	装修	c=1 d=1.24438e-18 t=14785
zhuang xiu dai 	装修贷	c=3 d=3.14194e-18 t=14785
zhuang xiu dai kuan 	装修贷款	c=1 d=1.14629e-18 t=14785
zhuang zhuang 	壮壮	c=1 d=6.66275e-18 t=14785
zhui qiu 	追求	c=1 d=1 t=12949
zhui zong 	追踪	c=1 d=0.000387808 t=14785
zhun bei 	准备	c=8 d=0.00694316 t=14785
zhun bei zou 	准备走	c=1 d=1 t=13445
zhun shi 	准时	c=0 d=5.47005e-22 t=14785
zhun shi zou 	准时走	c=1 d=5.49746e-21 t=14785
zhuo mian 	桌面	c=1 d=4.93672e-20 t=14785
zi 	子	c=0 d=8.49049e-18 t=14785
zi 	字	c=5 d=0.100002 t=12654
zi chu li liu cheng 	子处理流程	c=1 d=8.53305e-17 t=14785
zi cong 	自从	c=1 d=0.0126512 t=14785
zi dai 	自带	c=0 d=1.32701e-06 t=14785
zi dong 	自动	c=15 d=0.012684 t=14785
zi duan 	字段	c=25 d=6.9988e-05 t=14785
zi duan ming 	字段名	c=2 d=4.67905e-07 t=14785
zi fu 	字符	c=2 d=9.49257e-06 t=14785
zi fu chuan 	字符串	c=6 d=0.000639554 t=14785
zi gong si 	子公司	c=1 d=4.44314e-16 t=14785
zi ji 	自己	c=3 d=0.000476063 t=14785
zi ji gai 	自己改	c=1 d=1.85539e-07 t=14785
zi ji jia 	自己家	c=1 d=1.8692e-06 t=14785
zi jie shu 	字节数	c=1 d=2.58211e-13 t=14785
zi jie tiao dong 	字节跳动	c=1 d=1 t=11922
zi lei 	子类	c=16 d=0.000876125 t=14785
zi liao 	资料	c=2 d=3.4847e-09 t=14785
zi liu cheng 	子流程	c=3 d=2.83314 t=11543
zi mu 	字幕	c=1 d=2.29488e-08 t=14785
zi mu 	字母	c=5 d=2.28725e-08 t=14785
zi pin pai 	子品牌	c=1 d=1.81427e-08 t=14785
zi qi dong 	自启动	c=1 d=1.02937e-17 t=14785
zi shi ying 	自适应	c=4 d=1.0502 t=13499
zi shi ying tiao jie 	自适应调节	c=1 d=1 t=13084
zi shi yong 	字使用	c=1 d=1 t=12655
zi shu 	字数	c=1 d=2.59505e-13 t=14785
zi ti 	字体	c=11 d=0.0644036 t=14785
zi ti mo hu 	字体模糊	c=1 d=1 t=13616
zi ti xia zai 	字体下载	c=1 d=4.89859e-17 t=14785
